animationGroupId,clientLabel,tempNo,serverName,enemyIds,floorId,mapName,encounterId,xMin,yMin,xMax,yMax,encounterMin,encounterMax,enemyMax,appearanceItemIds,battleAppearancePercent,expectedBattles,expectedSteps,captureBase,captureItemIds
100251,乌力,1,乌力,9|140,100,薩伊那斯,28,11,567,155,707,1,5,2,,37.5,2.6666666666666665,69.26722037037031,11,
100251,乌力,1,乌力,9|140,11305,PC團本部地下3樓,655,1,1,59,50,1,5,10,12636,15.076013513513514,6.633053221288515,172.29493470276986,11,
100251,乌力,1,乌力,9|140,11304,PC團本部地下3樓,637,0,0,49,49,1,5,10,12636,7.2443181818181825,13.80392156862745,358.55972897603453,11,
100251,乌力,97,森林乌力,2353,8220,追獵者試練洞窟,1004,120,0,159,69,1,5,10,,30.003255208333336,3.332971682760117,86.57463151423087,11,
100251,乌力,716,小乌乌,1476,11305,PC團本部地下3樓,655,1,1,59,50,1,5,10,12636,11.77813555516182,8.490308124886079,220.53751646206112,1,
100251,乌力,716,小乌乌,1476,11304,PC團本部地下3樓,637,0,0,49,49,1,5,10,12636,5.65962357845438,17.66901961124941,458.95645317780287,1,
100252,乌力乌力,2,乌力乌力,1,816,新手島,910,14,78,109,169,1,5,5,,62.499999999991985,1.6000000000002053,41.56033222222752,11,
100253,乌力斯坦,3,乌力斯坦,11|143,100,薩伊那斯,28,11,567,155,707,1,5,2,,37.5,2.6666666666666665,69.26722037037031,11,
100253,乌力斯坦,3,乌力斯坦,11|143,11305,PC團本部地下3樓,655,1,1,59,50,1,5,10,12636,15.076013513513514,6.633053221288515,172.29493470276986,11,
100253,乌力斯坦,3,乌力斯坦,11|143,11304,PC團本部地下3樓,637,0,0,49,49,1,5,10,12636,7.2443181818181825,13.80392156862745,358.55972897603453,11,
100253,乌力斯坦,717,小坦坦,1477,11305,PC團本部地下3樓,655,1,1,59,50,1,5,10,12636,11.77813555516182,8.490308124886079,220.53751646206112,1,
100253,乌力斯坦,717,小坦坦,1477,11304,PC團本部地下3樓,637,0,0,49,49,1,5,10,12636,5.65962357845438,17.66901961124941,458.95645317780287,1,
100255,布比,11,布比,156,100,薩伊那斯,38,547,115,699,241,1,5,3,,0.8130081300813009,122.99999999999999,3194.9505395833303,5,
